Checked,name_en,name_ja,key_author,affiliation_en,affiliation_ja,mail
,"Kusunoki, Husako",楠 房子,楠 房子,,,
,Laerhoven K. V.,,LAERHOVEN K. V.,,,
,Laurance T. Yang,,LAURANCE T. YANG,,,
,Leela-amornsin Lertluck,,LEELA-AMORNSIN LERTLUCK,,,
,Lei Shu,,LEI SHU,,,
,Lei Wang,,LEI WANG,,,
,Lei Xue,,LEI XUE,,,
,Lekshmi M. Chidambaram,,LEKSHMI M. CHIDAMBARAM,,,
,Li Keqiu,,LI KEQIU,,,
,Likun Hu,,LIKUN HU,,,
,Lin He,,LIN HE,,,
,Lin Kai,,LIN KAI,,,
,Lin Xiang,,LIN XIANG,,,
,Liyun Zuo,,LIYUN ZUO,,,
,Loh,,LOH,,,
,Loh Yin Huei,,LOH YIN HUEI,,,
?,Loh Yin-Huei,,LOH YIN-HUEI,,,
,Long Cheng,,LONG CHENG,,,
,Longhui Ma,,LONGHUI MA,,,
,Lu Hongjun,,LU HONGJUN,,,
,Ma Jianhua,,MA JIANHUA,,,
,Madria Sanjay,,MADRIA SANJAY,,,
,Madria Sanjay Kumar,,MADRIA SANJAY KUMAR,,,
1,"Maeda, Kazuhiko",前田 和彦,KAZUHIKO MAEDA,,,
,"Maeda, Nobukazu",前田 信一,前田 信一,,,
1,"Maekawa, Takuya",前川 卓也,MAEKAWA TAKUYA,Osaka University,大阪大学,
,Maike Erdmann,,MAIKE ERDMANN,,,
,"Majima, Yuka",真嶋 温佳,真嶋 温佳,Osaka University,大阪大学,
,Manfred Hauswirth,,MANFRED HAUSWIRTH,,,
,Mark Linderman,,MARK LINDERMAN,,,
1,"Mashita, Tomohiro ",間下 以大,TOMOHIRO MASHITA,,,
1,"Masuda, Akira",,AKIRA MASUDA,,,
,"Masunaga, Yoshihumi",増永良文,増永良文,,,
,"Masuzawa, Toshimitsu",増澤 利光,増澤 利光,,,
1,"Matsui, Kazumi",松井 香純,KAZUMI MATSUI,,,
1,"Matsumoto, Sakiko",,SAKIKO MATSUMOTO,,,
1,"Matsumoto, Satoru",,SATORU MATSUMOTO,,,
,"Matsumoto, Syoko",松本 祥子,松本 祥子,,,
,"Matsumoto, Tetsu",松本 哲,松本 哲,,,
1,"Matsunami, Hidekazu",松波 秀和,HIDEKAZU MATSUNAMI,,,
,"Matsuno, Yuya",松野 有弥,松野 有弥,,,
,"Matsuo, Kenji",松尾 健司,松尾 健司,,,
1,"Matsuoka, Noriyuki ",松岡 紀行,NORIYUKI MATSUOKA,,,
1,"Matsushita, Yasuyuki",松下 康之,YASUYUKI MATSUSHITA,Osaka University,大阪大学,
,"Matsuura, Kazushi",松浦 知史,松浦 知史,,,
